timestamp,ws://localhost:8000/ws,ws://localhost:8001/ws,ws://localhost:8002/ws,ws://localhost:8003/ws,ws://localhost:8004/ws,ws://localhost:8005/ws
5,45,44,44,44,44,44
6,86,86,86,86,86,85
7,126,125,125,125,125,125
8,147,146,148,145,143,149
9,168,166,168,161,160,163
10,184,198,181,188,188,183
11,205,199,207,203,209,202
12,213,211,221,215,214,204
13,223,223,220,209,221,213
14,232,232,232,225,235,235
15,240,236,236,237,234,237
16,240,238,239,242,239,237
17,244,236,239,245,240,249
18,247,246,241,242,244,247
19,260,263,262,260,261,258
20,267,262,271,264,265,264
21,271,262,267,272,261,271
22,305,305,305,305,305,305
23,271,274,276,274,274,276
24,281,279,274,273,281,273
25,293,296,297,291,296,294
26,227,233,243,230,232,236
27,179,191,207,188,185,195
28,149,155,173,144,149,158
29,137,144,160,136,138,146
30,111,117,121,108,110,115
