timestamp,ws://localhost:8000/ws,ws://localhost:8001/ws,ws://localhost:8002/ws,ws://localhost:8003/ws,ws://localhost:8004/ws,ws://localhost:8005/ws
9,35,43,42,28,52,27
10,60,73,65,60,77,66
11,124,122,126,106,132,116
12,173,158,169,152,166,164
13,201,179,193,172,168,201
14,207,205,210,179,187,208
15,235,225,215,207,214,223
16,240,241,219,231,232,253
17,251,259,229,254,249,258
18,285,273,242,272,271,266
19,301,271,239,283,282,268
20,311,282,251,281,291,269
21,312,307,253,289,307,284
22,316,317,250,297,316,287
23,293,321,259,293,303,290
24,296,327,288,307,335,298
25,274,283,290,301,304,285
26,291,304,316,306,327,300
27,274,299,287,301,298,290
28,295,323,295,307,323,298
29,309,323,290,320,335,294
30,255,258,238,266,270,236
31,220,227,221,233,230,212
32,165,181,161,168,162,168
33,158,168,151,156,144,158
34,124,125,120,122,110,126
